year,month,flow
2003,January,120.3333333
2003,February,67.66666667
2003,March,107.3333333
2003,April,146.6666667
2003,May,463
2003,June,241.3333333
2003,July,533
2003,August,1070.333333
2003,September,1059
2003,October,898
2003,November,401
2003,December,235
2004,January,280.6666667
2004,February,327
2004,March,274
2004,April,293.6666667
2004,May,320.6666667
2004,June,248.6666667
2004,July,299
2004,August,395.3333333
2004,September,431.6666667
2004,October,449.3333333
2004,November,285
2004,December,216.3333333
2005,January,275.6666667
2005,February,295.3333333
2005,March,324.3333333
2005,April,299
2005,May,304.6666667
2005,June,401.6666667
2005,July,1360
2005,August,1354.333333
2005,September,617.3333333
2005,October,1074.666667
2005,November,381
2005,December,251
2006,January,319
2006,February,251.3333333
2006,March,377.3333333
2006,April,282.3333333
2006,May,356
2006,June,277.3333333
2006,July,580.3333333
2006,August,439
2006,September,751.3333333
2006,October,488.6666667
2006,November,267.6666667
2006,December,229.6666667
2007,January,138.3333333
2007,February,126.3333333
2007,March,154.6666667
2007,April,171.6666667
2007,May,246.6666667
2007,June,404
2007,July,801.3333333
2007,August,915
2007,September,1252.666667
2007,October,1640.666667
2007,November,329
2007,December,215
2008,January,160.6666667
2008,February,155.6666667
2008,March,196.3333333
2008,April,277.6666667
2008,May,298.6666667
2008,June,422.3333333
2008,July,716.6666667
2008,August,476.6666667
2008,September,1419.666667
2008,October,667
2008,November,365
2008,December,207.3333333
2009,January,167.3333333
2009,February,152.6666667
2009,March,158.6666667
2009,April,320.3333333
2009,May,551.6666667
2009,June,386.3333333
2009,July,1564.666667
2009,August,1150.333333
2009,September,1778.666667
2009,October,741
2009,November,376.3333333
2009,December,257.6666667
2010,January,171.3333333
2010,February,162.3333333
2010,March,153.6666667
2010,April,199
2010,May,306.3333333
2010,June,687.3333333
2010,July,2361.333333
2010,August,1542.666667
2010,September,945.6666667
2010,October,720.3333333
2010,November,333.3333333
2010,December,210.6666667
2011,January,156.3333333
2011,February,160
2011,March,193.3333333
2011,April,273.6666667
2011,May,533
2011,June,582.3333333
2011,July,1342
2011,August,744.3333333
2011,September,1586.666667
2011,October,589.6666667
2011,November,806.3333333
2011,December,340.3333333
2012,January,218
2012,February,201.6666667
2012,March,285.6666667
2012,April,358
2012,May,683.3333333
2012,June,555.6666667
2012,July,2151.333333
2012,August,1204.666667
2012,September,1105.333333
2012,October,637.3333333
2012,November,273.6666667
2012,December,240
