year,month,Ri
2002,3,4.193740801
2002,4,8.081049601
2002,5,7.993497599
2002,6,11.4605568
2002,7,6.680217599
2002,8,5.393203199
2002,9,5.690880001
2002,10,3.405772801
2002,11,0.7179264
2002,12,3.020544
2003,1,2.2238208
2003,2,1.357056
2003,3,2.4339456
2003,4,2.827929601
2003,5,8.8252416
2003,6,5.0429952
2003,7,5.708390399
2003,8,11.3204736
2003,9,12.4148736
2003,10,9.315532801
2003,11,5.822208001
2003,12,4.1499648
2004,1,6.312499199
2004,2,7.687065601
2004,3,6.259967999
2004,4,5.664614401
2004,5,5.603327999
2004,6,5.5683072
2004,7,4.6490112
2004,8,5.4369792
2004,9,3.344486399
2004,10,7.047935999
2004,11,5.086771201
2004,12,3.983616001
2005,1,6.1198848
2005,2,6.872832001
2005,3,6.846566401
2005,4,5.918515199
2005,5,6.435072
2005,6,8.527564801
2005,7,11.075328
2005,8,13.6493568
2005,9,8.081049601
2005,10,13.3166592
2005,11,8.264908801
2005,12,5.4369792
2006,1,6.7502592
2006,2,5.6208384
2006,3,8.4837888
2006,4,5.191833601
2006,5,6.049843199
2006,6,5.515776
2006,7,6.5401344
2006,8,4.3863552
2006,9,4.972953599
2006,10,5.034240001
2006,11,4.0186368
2006,12,4.500172799
2007,1,2.5652736
2007,2,1.9348992
2007,3,2.976767999
2007,4,3.379507201
2007,5,4.8854016
2007,6,7.546982399
2007,7,10.1647872
2007,8,9.762048001
2007,9,10.7601408
2007,10,11.9333376
2007,11,4.5702144
2007,12,3.186892799
2008,1,2.2588416
2008,2,2.4427008
2008,3,3.0993408
2008,4,4.684031999
2008,5,4.946687999
2008,6,7.4594304
2008,7,8.965324799
2008,8,6.916607999
2008,9,11.6356608
2008,10,8.2211328
2008,11,5.0692608
2008,12,3.318220799
2009,1,2.3288832
2009,2,2.661580799
2009,3,3.116851201
2009,4,6.006067201
2009,5,9.718272
2009,6,6.5926656
2009,7,16.3634688
2009,8,10.1210112
2009,9,13.0977792
2009,10,10.4799744
2009,11,5.296896001
2009,12,4.0449024
2010,1,2.985523201
2010,2,2.635315199
2010,3,2.722867201
2010,4,3.738470399
2010,5,5.4895104
2010,6,10.5149952
2010,7,16.4947968
2010,8,16.8012288
2010,9,13.4129664
2010,10,8.737689601
2010,11,5.428224001
2010,12,3.677184
2011,1,3.370751999
2011,2,3.1781376
2011,3,2.889216
2011,4,3.817267199
2011,5,6.759014399
2011,6,8.5625856
2011,7,14.6299392
2011,8,7.87968
